kmedia_id,kmedia_name,Active,Language,"kmedia_pattern(selected, i.e. has more)",mdb_pattern,en.name,he.name,ru.name,es.name,de.name,ua.name,zh.name
4002,Channel Kabbalah_plus/rus/Doma lucshe,,,,channel-kabbalah-plus-rus-doma-lucshe,There is No Place Like Home,אין כמו בבית,Дома лучше,,,,
3921,Channel Kabbalah_plus/rus/Films,,,,channel-kabbalah-plus-rus-films,Films,סרטים,Фильмы,,,,
3931,Channel Kabbalah_plus/rus/Interview,,,,channel-kabbalah-plus-rus-interview,Interviews,ראיונות,Интервью,,,,
4307,Channel Kabbalah_plus/rus/Kabbalah i sotzium,,,,channel-kabbalah-plus-rus-kabbalah-i-sotzium,Kabbalah and Society,קבלה וחברה,Каббала и социум,,,,
4153,Channel Kabbalah_plus/rus/Kabbalisticheskaya psihologia,,,,channel-kabbalah-plus-rus-kabbalisticheskaya-psihologia,Kabbalistic Psychology,פסיכולוגיה וקבלה,Каббалистическая психология,,,,
4313,Channel Kabbalah_plus/rus/Neizvestnie psalmi,,,,channel-kabbalah-plus-rus-neizvestnie-psalmi,Psalms,תהילים עכשיו,Неизвестные псалмы,,,,
4001,Channel Kabbalah_plus/rus/Perci,,,,channel-kabbalah-plus-rus-perci,Wisecrackers,מתפלפלים,Перчики,,,,
4198,Channel Kabbalah_plus/rus/Pochuvstvovat zohar,,,,channel-kabbalah-plus-rus-pochuvstvovat-zohar,To Feel the Zohar,להרגיש זוהר,Почувствовать Зоар,,,,
4136,Channel Kabbalah_plus/rus/Sila knigi Zohar,,,,channel-kabbalah-plus-rus-sila-knigi-zohar,The Power of Book Zohar,כוח של ספר הזוהר,Сила книги Зоар,,,,
4534,Channel Kabbalah_plus/rus/telemost,,,,channel-kabbalah-plus-rus-telemost,Teleconference,ועידה,Телемост,,,,
3935,Channel Kabbalah_plus/rus/Theater,,,,channel-kabbalah-plus-rus-theater,Theater,תיאטרון,Театр,,,,
3973,Channel Kabbalah_plus/rus/Tochniyot shonot,,,,channel-kabbalah-plus-rus-tochniyot-shonot,Miscellaneous Shows,תוכניות שונות,Разное,,,,
3920,Channel Kabbalah_plus/rus/VirtualLessonsRus,,,,channel-kabbalah-plus-rus-virtuallessonsrus,Virtual lessons in Russian,שיעורים הוירטואליים ברוסית,Виртуальные уроки на русском,,,,
4003,Channel Kabbalah_plus/rus/Voprosi v puti,,,,channel-kabbalah-plus-rus-voprosi-v-puti,Questions on the Way,שאלות בדרך,Серия уроков. Вопросы в пути,,,,
3925,films,,,films,films,Films,סרטים,Фильмы,,,,
2186,lecture_havaya-veshma-kabbalah,,HEB,,lecture-havaya-veshma-kabbalah,Experience and what Kabbalah,חוויה ושמה קבלה,Приключение под названием Каббала,,,,
4508,lecture_kabbalah-hoveket-olam,,HEB,,lecture-kabbalah-hoveket-olam,Kabbalah in the world,קבלה חובקת עולם,Каббала на карте мира,,,,
4509,lecture_kabbalah-nakarte-mira,,RUS,,lecture-kabbalah-nakarte-mira,Kabbalah in the world,קבלה חובקת עולם,Каббала на карте мира,,,,
4574,lecture_rus-israel,,,lecture_rus-israel,lecture-rus-israel,Lecture Rav in Israel,הרצאת הרב בישראל,Лекция Рава в Израиле,,,,
4187,lesson_parashat-ashavua,,HEB,lesson_parashat-ashavua,lesson-parashat-ashavua,Weekly Torah Portion,פרשת השבוע,"Тора, Недельная глава",Capítulo semanal de Tora,,,
4438,program_20-ideas,,HEBׂׂׂ(Rav) + eng,,20-ideas,20 Ideas,20 רעיונות,20 идей,,,,
6944,program_aguda-ahat,,HEB,program_aguda-ahat,aguda-ahat,Like a Bundle of Reeds,כאגודה אחת,Как в одном единении,,,,
3831,program_ahat-al-ahat,,HEB,,ahat-al-ahat,One to One,אחת על אחת,Один на один,,,,
4434,program_ahshav-ani,V,HEB,program_ahshav-ani,ahshav-ani,Now it's My Turn,עכשיו אני,Узнать о себе,,,,
4501,program_akol-patuah,,HEB,,akol-patuah,Open,הכל פתוח,Всё открыто,,,,
6934,program_am-israel,,HEB,program_am-israel,am-israel,The People of Israel,עם ישראל,Народ Израиля,,,,
